Scientific_Name,HawaiianName,Population,n_long,H_long,h_long,π_long,n_short,H_short,h_short,π_short,n_ee025_pa,H_ee025_pa,h_ee025_pa,π_ee025_pa,n_ee05_pa,H_ee05_pa,h_ee05_pa,π_ee05_pa,n_ee025_scaled,H_ee025_scaled,h_ee025_scaled,π_ee025_scaled,n_ee05_scaled,H_ee05_scaled,h_ee05_scaled,π_ee05_scaled,n_ee025_raw,H_ee025_raw,h_ee025_raw,π_ee025_raw,n_ee05_raw,H_ee05_raw,h_ee05_raw,π_ee05_raw
Caranx ignobilis,ulua aukea,all,21,7,0.667,0.005,NA,NA,NA,NA,12,3,0.621,0.005,12,3,0.621,0.005,23,3,0.502,0.004,23,3,0.502,0.004,1127,3,0.373,0.0033,1179,3,0.379,0.0034
Caranx ignobilis,ulua aukea,Hawai'i Island,18,7,0.686,0.005,NA,NA,NA,NA,7,3,0.667,0.006,7,3,0.667,0.006,14,3,0.473,0.004,14,3,0.473,0.004,664,3,0.372,0.0034,704,3,0.382,0.0035
Caranx ignobilis,ulua aukea,Kaua'i,3,2,0.667,0.006,NA,NA,NA,NA,5,2,0.6,0.005,5,2,0.6,0.005,9,2,0.556,0.005,9,2,0.556,0.005,463,2,0.372,0.0032,475,2,0.374,0.0032
Chaetodon fremblii,kīkākapu,all,23,15,0.905,0.005,23,6,0.68,0.004,3,3,1,0.006,3,3,1,0.006,7,3,0.667,0.003,7,3,0.667,0.003,173,3,0.598,0.003,177,3,0.6,0.003
Chaetodon fremblii,kīkākapu,Kaua'i,23,15,0.905,0.005,23,6,0.68,0.004,3,3,1,0.006,3,3,1,0.006,7,3,0.667,0.003,7,3,0.667,0.003,173,3,0.598,0.003,177,3,0.6,0.003
Chaetodon miliaris,lauwiliwili,all,28,8,0.685,0.001,28,2,0.452,0.002,6,3,0.6,0.003,6,3,0.6,0.003,9,3,0.556,0.003,9,3,0.556,0.003,150,3,0.231,0.001,157,3,0.236,0.001
Chaetodon miliaris,lauwiliwili,Hawai'i Island,10,5,0.8,0.002,10,2,0.533,0.002,2,2,1,0.004,2,2,1,0.004,2,2,1,0.004,2,2,1,0.004,41,2,0.461,0.002,42,2,0.455,0.0019
Chaetodon miliaris,lauwiliwili,Kaua'i,18,5,0.641,0.001,18,2,0.425,0.002,4,2,0.5,0.002,4,2,0.5,0.002,7,2,0.476,0.002,7,2,0.476,0.002,109,2,0.394,0.0017,115,2,0.397,0.0017
Chaetodon multicinctus,kīkākapu,all,92,16,0.453,0.002,92,5,0.126,0.001,24,4,0.482,0.002,24,4,0.482,0.002,45,4,0.377,0.002,45,4,0.377,0.002,1554,4,0.311,0.0014,1602,4,0.31,0.0014
Chaetodon multicinctus,kīkākapu,Hawai'i Island,31,11,0.626,0.002,31,4,0.187,0.001,13,2,0.282,0.001,13,2,0.282,0.001,25,2,0.153,0.001,25,2,0.153,0.001,881,2,0.091,4.00E-04,914,2,0.09,4.00E-04
Chaetodon multicinctus,kīkākapu,Maui,14,3,0.275,0.002,14,2,0.143,0.001,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,26,1,0,0,27,1,0,0
Chaetodon multicinctus,kīkākapu,O'ahu,16,3,0.342,0.001,16,1,0,0,3,2,0.667,0.003,3,2,0.667,0.003,5,2,0.4,0.002,5,2,0.4,0.002,173,2,0.223,0.001,174,2,0.222,9.00E-04
Chaetodon multicinctus,kīkākapu,Kaua'i,31,7,0.404,0.001,31,3,0.127,0.001,7,2,0.571,0.002,7,2,0.571,0.002,14,2,0.538,0.002,14,2,0.538,0.002,474,2,0.498,0.0021,487,2,0.498,0.0021
